Wall time,Step,Value
1743834569.9420469,462848,-96552.3515625
1743834571.145888,464896,-96443.7578125
1743834572.688155,466944,-96731.0390625
1743834575.411309,471040,-96679.8671875
1743834576.522104,473088,-96715.28125
1743834578.419608,475136,-96834.90625
1743834579.422287,477184,-96650.203125
1743834580.369545,479232,-96401.6796875
1743834582.0141819,481280,-96152.2421875
1743834586.427943,487424,-96822.109375
1743834590.4230962,493568,-96820.328125
1743834595.982049,501760,-96652.6875
1743834597.057274,503808,-96445.5390625
1743834599.871017,507904,-96913.2421875
1743834603.113695,512000,-96941.3203125
1743834604.343725,514048,-96811.7890625
1743834610.348556,524288,-96746.0390625
1743834614.265622,530432,-96753.9453125
1743834615.55024,532480,-96788.5625
1743834617.081949,534528,-96969.0390625
1743834618.1962938,536576,-96846.3359375
1743834621.064032,540672,-96738.375
1743834625.462775,548864,-96769.5546875
1743834628.652159,552960,-96919.7421875
1743834630.55344,557056,-96976.109375
1743834633.2956002,561152,-97012.640625
1743834640.406251,571392,-96103.8828125
1743834642.738125,575488,-96074.796875
1743834648.57763,583680,-95880.59375
1743834654.8213272,593920,-95528.6875
1743834657.085931,598016,-95232.890625
1743834659.05384,600064,-95266.265625
1743834662.778734,606208,-95220.8125
1743834665.513215,610304,-95067.28125
1743834666.697639,612352,-95037.8203125
1743834667.666086,614400,-95148.6796875
1743834669.9171698,618496,-95676.65625
1743834671.5848231,620544,-95861.1640625
1743834672.545196,622592,-95730.9765625
1743834678.042573,630784,-95777.7109375
1743834679.496096,632832,-95756.140625
1743834681.893157,636928,-95732.453125
1743834688.588098,643072,-95757.6640625
1743834694.8826969,651264,-96411.9375
1743834695.8482502,653312,-96305.1875
1743834696.837213,655360,-96301.5234375
1743834697.810712,657408,-96120.046875
1743834700.5970838,661504,-96454.875
1743834704.3699682,667648,-95870.9765625
1743834705.5982761,669696,-95851.703125
1743834707.831258,671744,-95822.875
1743834711.028199,677888,-96079.9296875
1743834712.458735,679936,-96026.1171875
1743834715.374879,684032,-95588.0859375
1743834724.0846238,696320,-96798.1796875
1743834726.509433,700416,-96360.4296875
1743834731.3509068,706560,-96404.25
1743834732.640527,708608,-96066.4140625
1743834736.754828,712704,-95720.015625
1743834737.903856,714752,-95774.0859375
1743834744.032723,724992,-95682.1328125
1743834745.231789,727040,-95967.7421875
1743834749.011832,731136,-95798.7109375
1743834752.041225,735232,-95783.8046875
1743834754.299645,737280,-95875.0
1743834757.981098,739328,-95767.4140625
1743834763.336784,745472,-95109.296875
1743834765.0585449,747520,-95020.4375
1743834766.273558,749568,-94940.953125
1743834770.273233,753664,-94921.4609375
1743834771.9726698,755712,-94914.6484375
1743834774.985599,759808,-94930.7421875
1743834777.4879181,761856,-95255.2109375
1743834780.165453,765952,-95416.9453125
1743834783.755758,770048,-94955.0078125
1743834786.402313,774144,-95084.65625
1743834788.020412,776192,-95076.8671875
1743834789.743166,778240,-94863.1328125
1743834792.85111,782336,-95160.0
1743834794.392957,784384,-95105.234375
1743834799.965292,790528,-95860.9609375
1743834801.44651,792576,-95498.8515625
1743834802.69073,794624,-95493.3203125
1743834804.122623,796672,-95442.4921875
1743834808.086685,800768,-95554.2890625
1743834809.134104,802816,-95310.09375
1743834810.694114,804864,-95227.5390625
1743834812.061385,806912,-95281.2421875
1743834824.229631,825344,-95148.5546875
1743834825.527091,827392,-95287.109375
1743834828.5773492,831488,-95619.21875
1743834832.892473,837632,-95089.015625
1743834845.003497,851968,-95248.1640625
1743834846.1228201,854016,-95026.3671875
1743834854.309288,862208,-94594.5390625
1743834855.712517,864256,-94528.3984375
1743834856.732123,866304,-94379.6796875
1743834860.359869,870400,-94351.28125
1743834862.92494,874496,-94526.5078125
1743834869.118324,882688,-94319.875
1743834882.8930008,901120,-92707.5
1743834883.954836,903168,-92760.609375
1743834885.5598872,905216,-93283.5234375
1743834886.611866,907264,-93558.75
1743834890.7332711,911360,-93542.1015625
1743834891.755265,913408,-93727.359375
1743834896.0544279,919552,-94081.7265625
1743834900.9748092,925696,-93571.1640625
1743834913.889369,940032,-93432.625
1743834915.219723,942080,-93584.6171875
1743834916.966173,944128,-93723.5625
1743834918.332536,946176,-93825.8828125
1743834921.778239,950272,-93632.359375
1743834922.897612,952320,-93768.3046875
1743834925.070278,954368,-93469.2109375
1743834927.770896,958464,-93092.2890625
1743834929.944843,960512,-92894.53125
1743834931.048696,962560,-92981.515625
1743834933.69156,966656,-92762.234375
1743834937.0495622,970752,-93209.3359375
1743834938.511712,972800,-93065.1796875
1743834947.094742,980992,-93948.1640625
1743834957.437782,995328,-93876.7109375
1743834961.7925482,1001472,-93821.734375
1743834962.7635689,1003520,-93946.125
1743834965.4892921,1007616,-93682.9765625
1743834968.5754309,1011712,-93693.6875
1743834972.3232372,1017856,-93644.4296875
1743834988.726221,1040384,-91619.625
1743834992.3129652,1046528,-91491.8671875
1743834993.69437,1048576,-91475.8515625
1743834996.1758962,1050624,-90962.7421875
1743834998.702374,1054720,-91145.3125
1743835000.810213,1058816,-90851.96875
1743835002.863893,1060864,-90943.0390625
1743835004.8307571,1064960,-90828.8515625
1743835010.734488,1075200,-90761.25
1743835012.1808488,1077248,-90786.265625
1743835020.947329,1089536,-90349.3046875
1743835023.6034582,1093632,-90456.6484375
1743835024.86959,1095680,-90341.75
1743835026.186715,1097728,-90541.328125
1743835027.1873422,1099776,-90299.1796875
1743835028.620894,1101824,-89945.703125
1743835030.566783,1103872,-89955.2421875
1743835031.7324648,1105920,-90225.90625
1743835032.760829,1107968,-89740.9609375
1743835034.43576,1110016,-89591.4140625
1743835035.968678,1112064,-89773.4921875
1743835038.0590222,1116160,-89550.8828125
1743835042.777466,1122304,-89033.5390625
1743835043.899611,1124352,-88908.8359375
1743835044.874314,1126400,-88881.5625
1743835048.266696,1130496,-88054.921875
1743835052.473637,1138688,-88038.5859375
1743835055.482412,1142784,-87860.8828125
1743835057.767742,1146880,-87721.9609375
1743835063.297774,1155072,-87930.40625
1743835064.541952,1157120,-87887.4375
1743835066.092061,1159168,-87756.703125
1743835069.731638,1163264,-87962.0703125
1743835071.882514,1167360,-87718.046875
1743835074.856064,1171456,-87752.1015625
1743835076.827751,1175552,-87707.375
1743835077.774121,1177600,-87731.5234375
1743835081.646642,1183744,-87970.71875
1743835083.5272388,1187840,-87762.4375
1743835084.4870248,1189888,-87374.3046875
1743835086.3432698,1191936,-87306.6015625
